scaled_shares,prev_max_mag,new_max_mag,slashed_amount,theoretical_result,error,relative_error_percent,magnitude_ratio,slash_percentage,slash_range
1.0525026366179184e+32,192.0,1.0,2.010280035940224e+16,2.010280035940224e+16,1.44,7.163181120318396e-15,0.005208333333333333,99.47916666666666,90-100%
1554.0,320.0,18.0,0.0,4.69308e-13,4.69308e-13,100.0,0.05625,94.375,90-100%
26428242.0,244781.0,127.0,0.0,6.465775118268e-06,6.465775118268e-06,100.0,0.0005188311184283093,99.94811688815717,90-100%
1.7503528008064727e+24,472342337424078.0,20756361898276.0,7.904347770665109e+20,7.904347770665107e+20,136089.9725413946,1.7217103357528936e-14,0.0439434711939458,95.60565288060542,90-100%
3719.0,28142141643098.0,194.0,0.0,0.10466062476995998,0.10466062476995998,100.0,6.893576276472884e-12,99.99999999931065,90-100%
8245838279190.0,509394540.0,66951122.0,3648.0,3648.3168725200617,0.31687252006187144,0.008685444031702018,0.13143274366466512,86.8567256335335,75-90%
7.898662585941107e+16,434475994741903.0,0.0,34317792841574.0,34317792841574.145,0.1435778282310662,4.1837722167589246e-13,0.0,100.0,90-100%
4141.0,5218.0,2359.0,0.0,1.1839119e-11,1.1839119e-11,100.0,0.4520889229589881,54.79110770410118,50-75%
4.921000000258772e+20,6505519.0,3207.0,3199787735.0,3199787735.368262,0.3682616280864,1.1508939296687972e-08,0.0004929660492883043,99.95070339507117,90-100%
5332.0,2288.0,2086.0,0.0,1.077064e-12,1.077064e-12,100.0,0.9117132867132867,8.828671328671328,0-10%
3.49351147552799e+35,620.0,20.0,2.096106885316794e+20,2.096106885316794e+20,0.0,0.0,0.03225806451612903,96.7741935483871,90-100%
2041.0,4118.0,87.0,0.0,8.227271e-12,8.227271e-12,100.0,0.02112676056338028,97.88732394366197,90-100%
6.503390913220376e+18,228708.0,2.0,1487364.0,1487364.5221989793,0.522198979313456,3.51090113768087e-05,8.744774996939329e-06,99.99912552250031,90-100%
1.3406329838765235e+20,4.212528652128958e+16,6330804737779187.0,4.798726291974141e+18,4.79872629197414e+18,716.7338909041265,1.4935919393920473e-14,0.1502851436886887,84.97148563113113,75-90%
314.0,4538.0,3540.0,0.0,3.13372e-13,3.13372e-13,100.0,0.7800793301013662,21.992066989863375,10-25%
161.0,6017.0,255.0,0.0,9.27682e-13,9.27682e-13,100.0,0.04237992354994183,95.76200764500582,90-100%
1.0,1158834126358.0,2.0,0.0,1.158834126356e-06,1.158834126356e-06,100.0,1.7258725425058267e-12,99.99999999982741,90-100%
1.6017315749762527e+32,542899967126761.0,2.0,8.695800194004995e+28,8.695800194004995e+28,932607571599.93,1.0724804512445935e-15,3.683919913616467e-15,99.99999999999963,90-100%
440.0,107477464.0,1555.0,0.0,4.728939996e-08,4.728939996e-08,100.0,1.4468149341521493e-05,99.99855318506586,90-100%
5466.0,3096.0,1046.0,0.0,1.12053e-11,1.12053e-11,100.0,0.33785529715762275,66.21447028423772,50-75%
35770232298771.0,5065835349050.0,531190214.0,181187106.0,181187106.42549455,0.42549455879159054,2.3483710689234777e-07,0.00010485737837879285,99.98951426216212,90-100%
3510989675.0,5333.0,4510.0,0.0,2.889544502525e-06,2.889544502525e-06,100.0,0.8456778548659292,15.43221451340709,10-25%
131064904479204.0,3.037973196136472e+16,1.7513681988760532e+16,1686287610684.0,1686287610684.0332,0.03314128976930635,1.965340287109313e-12,0.5764923143835987,42.35076856164013,25-50%
2317.0,2639.0,702.0,0.0,4.488029e-12,4.488029e-12,100.0,0.2660098522167488,73.39901477832512,50-75%
5.507292559216787e+27,406171.0,2.0,2236891511484523.0,2236891511484523.2,0.159003,7.108212409214112e-15,4.92403445839314e-06,99.99950759655417,90-100%
1.1490706182700476e+27,389471430.0,477.0,4.475296287619347e+17,4.4752962876193466e+17,49.8726372,1.114398555867012e-14,1.2247368183078281e-06,99.99987752631817,90-100%
1.5961055418627748e+31,2.1623011622504134e+17,23747829953012.0,3.450881827814252e+30,3.4508818278142514e+30,362439758988274.6,1.050281571704354e-14,0.00010982665304724001,99.98901733469528,90-100%
5674.0,2023.0,30.0,0.0,1.1308282e-11,1.1308282e-11,100.0,0.014829461196243203,98.51705388037568,90-100%
3316.0,4594.0,1088.0,0.0,1.1625896e-11,1.1625896e-11,100.0,0.2368306486721811,76.3169351327819,75-90%
3.0,23733820.0,311.0,0.0,7.1200527e-11,7.1200527e-11,100.0,1.310366388554392e-05,99.99868963361145,90-100%
